subject,group,sex,season,minseasontemp,pregnant,no_of_samples,correction_term,fgc_mean,fgc_sd,fgccv,elo,elos,rankf,excs,socs,tacs
SAR,blue,female,3,4.72,1,11,3.75,2458.16,995.77,151.9080288,1817,2.006839834,high,1.756343138,1.00293943,0.372572414
SIM,green,male,1,6.44,NA,15,4.75,1040.6,431.1,196.7818979,973,-0.17522865,low,1.898553218,1.345330717,0.964471661
SIM,green,male,2,4.89,NA,7,2.75,1129.48,167.11,40.68644281,973,-0.17522865,low,-0.656154654,-1.30833805,0.371709492
SIM,green,male,3,4.72,NA,11,3.75,1330.81,386,108.767664,1139,0.902103047,high,-0.861517023,0.485345469,0.423254028
TIM,blue,male,1,6.44,NA,10,3.5,1213.93,606.88,174.9760401,1151,0.912224361,high,-0.113997999,-2.123276453,-2.463240012
TIM,blue,male,2,4.89,NA,9,3.25,1488.27,362.98,79.26573725,864,-0.821606047,low,0.171379634,-0.412861346,0.850882775
TIM,blue,male,3,4.72,NA,15,4.75,1619.61,801.57,235.0831958,606,-2.380241048,low,-0.689012633,-2.094610278,-1.019992992
WAN,blue,female,1,6.44,0,9,3.25,2294.8,1017.76,144.1398432,835,-0.405298131,low,-0.653861042,-1.814108024,-0.223854573
WAN,blue,female,2,4.89,1,10,3.5,2382.95,1416.24,208.0132731,712,-0.707429464,low,-0.54997293,-0.996255537,1.101538731
WAN,blue,female,3,4.72,1,13,4.25,2237.16,791.56,150.3745517,515,-1.191330869,low,-0.383751952,-0.39043888,0.505111744
